factory_id,factory_name,industry_type,city,risk_level,composite_score,dominant_pollutant,immediate_actions,short_term_actions,long_term_actions,monitoring_actions,summary,generated_at
osm_4784023232,Mahajan Aata Chakki,works,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Mahajan Aata Chakki is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.542806+00:00
osm_6219037342,Ankit Pulps & Boards Pvt Ltd,works,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Ankit Pulps & Boards Pvt Ltd is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.546232+00:00
osm_6227566329,Goverdhan Energy and Petrochemicals Pvt Ltd,works,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Goverdhan Energy and Petrochemicals Pvt Ltd is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.549614+00:00
osm_7056060185,Bharat Petroleum Corporation Limited,works,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Bharat Petroleum Corporation Limited is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.552915+00:00
osm_7095724227,Indrayani Handlooms,works,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Indrayani Handlooms is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.556695+00:00
osm_9789550003,Vinayaka Group Nagpur,works,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Vinayaka Group Nagpur is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.560263+00:00
osm_10832230218,Varun Auto Cast,works,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Varun Auto Cast is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.563656+00:00
osm_128552624,Nagpur Industrial Site 128552624,industrial,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Nagpur Industrial Site 128552624 is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.567007+00:00
osm_128552626,Koradi Thermal Power Station,industrial,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Koradi Thermal Power Station is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.570458+00:00
osm_128552627,Nagpur Industrial Site 128552627,industrial,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Nagpur Industrial Site 128552627 is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.574230+00:00
osm_128552630,Khaparkheda Thermal Power Station,industrial,Nagpur,Medium,5.1822,pm25,Install bag filter / fabric filter system | Install real-time particulate matter sensor at stack,Apply general pollution control measures as per CPCB guidelines | Electrostatic precipitator (ESP) for high-temperature processes | Employee environmental training program | Energy efficiency audit to reduce overall emissions | Preventive maintenance schedule for emission control equipment | Quarterly emission stack testing | Apply data-driven intervention plan for category: PM_Control,,Install real-time particulate matter sensor at stack | Quarterly emission stack testing,Khaparkheda Thermal Power Station is classified as Medium risk with composite score 5.18. Top action: Install bag filter / fabric filter system.,2026-03-17T16:59:35.577958+00:00
